timestamp,item_id,type,bloom_level,cluster,predicted_confidence,outcome,interval_before,interval_after,ease,reps,time_taken_s
2026-07-07T17:36:11,ax-pfa-coreactions-analyze-01,vignette,analyze,pfa-frameworks,100,correct,1,1,1.96,1,7.0
2026-07-07T17:36:34,ax-pfa-selfcare-evaluate-01,explain,evaluate,bereavement-support,80,correct,1,1,2.28,1,15.3
2026-07-07T17:37:55,u2-ellis-vs-beck-compare-01,compare,analyze,theory-families,75,correct,6,14,2.48,3,74.5
2026-07-07T17:38:24,u2-integrative-evaluate-01,explain,evaluate,theory-families,100,correct,6,15,2.66,3,17.2
2026-07-07T17:38:28,ax-pfa-pgd-cloze-01,cloze,remember,grief-models,100,correct,1,6,2.7,2,3.8
2026-07-07T17:39:00,ax-pfa-debrief-understand-01,explain,understand,pfa-frameworks,70,correct,1,6,2.7,2,22.9
2026-07-07T17:39:06,ax-pfa-ring-cloze-01,cloze,remember,bereavement-support,100,correct,1,6,2.7,2,4.1
2026-07-07T17:39:12,u2-existential-cloze-01,cloze,remember,theory-families,100,correct,6,16,2.8,3,4.7
2026-07-07T17:39:38,ax-pfa-help-apply-01,vignette,apply,bereavement-support,100,correct,1,6,2.7,2,22.3
2026-07-07T17:39:42,u2-postmodern-cloze-01,cloze,remember,theory-families,100,correct,6,14,2.48,3,2.8
2026-07-07T17:40:31,ax-pfa-coreactions-recall-01,recall,understand,pfa-frameworks,80,correct,1,1,2.28,1,39.2
2026-07-07T17:40:50,u2-personcentered-apply-01,vignette,apply,theory-families,100,correct,1,1,2.04,1,13.2
2026-07-07T17:41:16,u2-defense-apply-01,vignette,apply,theory-families,75,missed,1,1,1.5,0,10.4
2026-07-07T17:41:48,u2-personcentered-vs-existential-compare-01,compare,analyze,theory-families,100,correct,6,16,2.8,3,27.1
2026-07-07T17:41:53,ax-pfa-lll-cloze-01,cloze,remember,pfa-frameworks,100,correct,1,6,2.7,2,3.2
2026-07-07T17:42:05,ax-pfa-ring-apply-01,vignette,apply,bereavement-support,100,correct,1,6,2.56,2,7.7
2026-07-08T22:02:19,u1-empathy-analyze-01,compare,analyze,rogers-conditions,100,correct,6,15,2.56,3,101.9
2026-07-08T22:02:49,ax-pfa-objectives-recall-01,recall,remember,pfa-frameworks,75,correct,1,1,1.64,1,21.8
